,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
110,London,2019-03-01,11.4,8.506451612903227,6.1,1.6082983727884506,7.8,1.5806451612903225,0.0,2.1909540318985417,53.7,27.26129032258065,10.8,13.52860370768432
111,London,2019-04-01,14.5,9.256666666666668,3.2,3.1910092807582147,6.7,1.28,0.0,2.0352751233153237,41.8,20.053333333333335,7.9,7.181908944838692
112,London,2019-05-01,17.5,12.16774193548387,7.4,2.7198513558372013,12.6,1.5032258064516126,0.0,2.6696421571648563,30.5,18.919354838709676,8.3,5.687554797089209
113,London,2019-06-01,22.4,15.743333333333334,11.6,2.627924752679788,31.3,3.01,0.0,6.32124769438701,35.1,21.459999999999997,10.6,6.464577219021338
114,London,2019-07-01,27.5,18.8258064516129,15.6,2.6014057407403772,21.1,2.264516129032258,0.0,4.933122634268399,39.2,19.238709677419358,8.9,6.220754371154399
115,London,2019-08-01,23.3,18.209677419354843,14.8,2.1354710391714016,11.9,1.5225806451612904,0.0,2.8837140030892288,48.1,21.632258064516133,8.5,8.93205415332047
116,London,2019-09-01,18.3,15.413333333333332,12.5,1.6391194720575317,17.8,2.923333333333333,0.0,4.585259992127197,37.7,21.95,9.2,7.639089582873892
117,London,2019-10-01,15.2,11.164516129032258,6.6,2.30933589113072,12.5,3.5870967741935487,0.0,4.379554158091428,39.6,23.70967741935484,11.6,7.665957423949499
118,London,2019-11-01,13.0,6.8900000000000015,2.7,2.5836822159668644,15.4,3.3500000000000005,0.0,4.107751293549205,47.2,20.473333333333333,10.1,6.865552861347295
119,London,2019-12-01,11.2,6.335483870967742,0.8,2.1278390269781178,14.5,3.3096774193548386,0.0,3.897550926646945,42.2,24.174193548387098,10.2,8.339942755276581
120,London,2020-01-01,10.8,6.674193548387096,0.2,2.856334217365034,12.5,1.9161290322580644,0.0,2.9769219869067842,48.3,24.516129032258064,6.1,11.553328431645244
121,London,2020-02-01,11.3,7.086206896551725,2.7,2.38862245685234,18.8,3.5413793103448277,0.0,4.921419455617259,53.0,34.11724137931035,10.6,9.747273207177967
122,London,2020-03-01,12.4,6.858064516129032,4.1,2.029412754722966,15.4,1.464516129032258,0.0,3.0092688355697277,40.9,26.838709677419352,12.2,7.969930046508348
123,London,2020-04-01,15.6,10.956666666666667,4.3,2.5582433807990785,13.6,1.1466666666666667,0.0,3.025835117933484,33.6,19.899999999999995,10.6,6.419958104922922
